Algorithm,Iteration,rsq_train,rsq_test,Score_train,Score_test,RMSE,MAE,STD,AARD
RandomForestRegressor,1,0.9936600419279678,0.9479096808564818,0.9942330515000223,0.9479773047697737,7.421932872083133,4.164805709799149,0.17189237500304563,6.66748129114022
RandomForestRegressor,2,0.993720295218505,0.9621842455620201,0.9942238810913256,0.9627272362073225,6.325326669298631,3.994391562352508,0.20070665965889117,6.3453793268612015
RandomForestRegressor,3,0.9952974420946702,0.9578101948782862,0.9955349332986414,0.9579156629312902,6.118070195616432,3.793412239068686,0.203706270549892,6.2003829740352705
RandomForestRegressor,4,0.9929968108629419,0.9619113079023,0.9937143394403439,0.9627161992238759,6.418465683028659,3.998115073191381,0.13657557834605535,6.461309997356144
RandomForestRegressor,5,0.9948165310751519,0.9603092335459319,0.9951878848964766,0.9605309154540357,6.272967634778776,3.8938341984853757,0.5328276244861289,6.3678985412854265
RandomForestRegressor,6,0.9956604138722015,0.9522191885167071,0.9958781695857779,0.9523582965869937,6.478614745526723,3.969790275856771,0.35967459988881284,6.388250006093605
RandomForestRegressor,7,0.9939552052681574,0.9629339834429637,0.9944597052115349,0.9644439711002131,6.257035130695857,3.904234511934797,0.13548903542999777,6.386693134658998
RandomForestRegressor,8,0.9939198164401041,0.9449464210602914,0.9942373162589936,0.9474537683516473,8.070245053434595,4.331625286185211,0.19904043766586074,6.5063156179014605
RandomForestRegressor,9,0.9941733766330265,0.9589383499015001,0.9945096181988696,0.9599177597361259,6.489936013862699,3.9506537030543583,0.15935174190844145,6.502881261842762
RandomForestRegressor,10,0.9951409452184499,0.9584177313288602,0.9953980016708676,0.9589504038556503,6.2120702652687205,3.8514888542877115,0.1749944659574808,6.354896278101384
RandomForestRegressor,11,0.9950331920068481,0.9621060919101918,0.9953253316744686,0.9627344372638563,5.962849210144978,3.815171194225318,0.15650342854115007,6.251772117553481
RandomForestRegressor,12,0.995115582396621,0.9523208731164824,0.9953162573221288,0.9526181344576857,6.699816935922065,4.101241060477007,0.3596378079243902,6.616434852844954
RandomForestRegressor,13,0.9931223122040735,0.9622619083268009,0.9940570065281543,0.9626546139201086,6.50916833564149,3.9443752453016225,0.5672643930947104,6.184440243118699
RandomForestRegressor,14,0.9951850950047821,0.9614887699025136,0.9956229516150193,0.9619158616055603,6.129599774609303,3.8826269486882934,0.6170490767404695,6.220983078164558
RandomForestRegressor,15,0.993553239597537,0.9648938989295971,0.9939941326846524,0.9656678913743885,6.071780559861378,3.8681685572233384,0.33820132405886133,6.309835167820137
RandomForestRegressor,16,0.9930348124141027,0.9635173552993818,0.9935281308234202,0.9643140163953033,6.288854480222952,3.952949877672229,0.233235401011671,6.337014113611194
RandomForestRegressor,17,0.9937998300527304,0.9626569578303044,0.9939720952970346,0.9639948780194685,6.437957288480791,3.927858347578745,0.2135718154182424,6.31724318776691
RandomForestRegressor,18,0.9955419921549471,0.9581320762907742,0.9956229902159,0.9584842050506297,5.981491043107639,3.755969338503261,0.32612593612366103,6.099618419731557
RandomForestRegressor,19,0.9939640128983378,0.9561582824163414,0.9945443151628077,0.9562095981619944,6.899250618291126,4.040052683721945,0.2507111504491717,6.329673819101101
RandomForestRegressor,20,0.9952915536983337,0.9615479625239248,0.9955609698129289,0.9617828669000261,6.053698777839251,3.7893987124192345,0.550395567776804,6.165657399153317
