param_Forest__warm_start,param_Forest__n_estimators,param_Forest__min_samples_split,param_Forest__min_samples_leaf,param_Forest__max_features,param_Forest__max_depth,param_Forest__bootstrap,mean_test_score,std_test_score,rank_test_score,mean_fit_time,mean_score_time,std_fit_time,std_score_time,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,split8_test_score,split9_test_score
True,200,2,1,sqrt,10,True,-4.382096932793611,0.8455064006370495,4,1.2130747795104981,0.013250637054443359,0.03812669692158478,0.0029339823915786917,"{'Forest__warm_start': True, 'Forest__n_estimators': 200, 'Forest__min_samples_split': 2, 'Forest__min_samples_leaf': 1, 'Forest__max_features': 'sqrt', 'Forest__max_depth': 10, 'Forest__bootstrap': True}",-4.153258644807907,-5.369413922315883,-4.1455379115664925,-4.90269269696936,-5.736848197761318,-5.023834083175884,-3.4300021457289347,-3.159611875761165,-3.328224801824787,-4.571545048024374
True,300,2,1,sqrt,20,False,-3.613874601035351,0.8383741895699677,1,3.8581696510314942,0.02449615001678467,0.0566002316842577,0.0012776412494075245,"{'Forest__warm_start': True, 'Forest__n_estimators': 300, 'Forest__min_samples_split': 2, 'Forest__min_samples_leaf': 1, 'Forest__max_features': 'sqrt', 'Forest__max_depth': 20, 'Forest__bootstrap': False}",-3.6219247361662634,-4.559821484955549,-3.3037038537277335,-4.171400338163808,-5.085078411583645,-3.9414270857853873,-2.67631127331787,-2.2504997816715178,-2.7780668177683516,-3.7505122272133846
True,200,5,1,log2,20,True,-4.2544624466891605,0.8675639134568409,3,0.9721070766448975,0.014216971397399903,0.02010498783236057,0.0006799719866125869,"{'Forest__warm_start': True, 'Forest__n_estimators': 200, 'Forest__min_samples_split': 5, 'Forest__min_samples_leaf': 1, 'Forest__max_features': 'log2', 'Forest__max_depth': 20, 'Forest__bootstrap': True}",-3.9486231375090988,-5.077425888770669,-3.9926111278230088,-4.840265597044087,-5.823271823144658,-4.755879091566644,-3.1648600320228617,-3.233169779328865,-3.1190875068472734,-4.589430482834437
True,300,5,2,log2,40,False,-3.8801948456943123,0.8658361696117791,2,2.103235626220703,0.021251106262207033,0.05044095097401053,0.0009222442204543379,"{'Forest__warm_start': True, 'Forest__n_estimators': 300, 'Forest__min_samples_split': 5, 'Forest__min_samples_leaf': 2, 'Forest__max_features': 'log2', 'Forest__max_depth': 40, 'Forest__bootstrap': False}",-3.8365370382414032,-4.92142575971887,-3.5584551097326798,-4.376789031993399,-5.39853972085212,-4.138633842685867,-2.872242372427905,-2.6617241388291775,-2.8381685486458488,-4.199432893815855
True,200,5,2,log2,10,False,-4.4785114244429085,0.8511019217716715,5,1.0729547262191772,0.011777305603027343,0.010201214455191837,0.00045448882945921037,"{'Forest__warm_start': True, 'Forest__n_estimators': 200, 'Forest__min_samples_split': 5, 'Forest__min_samples_leaf': 2, 'Forest__max_features': 'log2', 'Forest__max_depth': 10, 'Forest__bootstrap': False}",-4.266276148394162,-5.42660173168377,-4.255447474887851,-5.132748422215235,-5.878243913707397,-4.956783175696248,-3.4764653232487186,-3.247943324806294,-3.4455482472073116,-4.69905648258209
